Bureau de l'ASFC,Emplacement,Mise à jour,Débit / Expéditions commerciales,Débit / Voyageurs
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-08 13:53 PDT,Aucun délai,5
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-08 14:47 PDT,Aucun délai,5
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-08 15:48 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-08 16:48 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-08 17:48 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-08 19:08 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-08 19:49 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-08 20:53 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-08 21:49 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-08 22:46 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-08 23:47 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-09 00:47 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-09 01:47 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-09 02:48 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-09 03:52 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-09 04:48 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-09 05:49 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-09 07:49 PDT,Entrée manquante,Entrée manquante
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-09 07:49 PDT,Aucun délai,10
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-09 08:51 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-09 09:49 PDT,Aucun délai,25
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-09 10:53 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-09 11:51 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-09 12:59 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-09 13:55 PDT,Aucun délai,10
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-09 14:59 PDT,Aucun délai,10
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-09 15:50 PDT,Aucun délai,10
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-09 16:49 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-09 17:50 PDT,Aucun délai,5
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-09 18:50 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-09 19:50 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-09 21:50 PDT,Aucun délai,Aucun délai
