"","Site","Meter","Unit","Date","Time","Value"
"195","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-27,"00:30",72
"196","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-28,"00:30",78
"197","Abercrombie House","Total Natural Gas AH","kWh",2011-02-01,"00:30",0
"198","Abercrombie House","Total Natural Gas AH","kWh",2011-02-02,"00:30",0
"199","Abercrombie House","Total Natural Gas AH","kWh",2011-02-03,"00:30",36.064
"200","Abercrombie House","Total Natural Gas AH","kWh",2011-02-04,"00:30",0
"201","Abercrombie House","Total Natural Gas AH","kWh",2011-02-05,"00:30",0
"202","Abercrombie House","Total Natural Gas AH","kWh",2011-02-06,"00:30",0
"203","Abercrombie House","Total Natural Gas AH","kWh",2011-02-07,"00:30",0
"204","Abercrombie House","Total Natural Gas AH","kWh",2011-02-08,"00:30",153.272
"205","Abercrombie House","Total Natural Gas AH","kWh",2011-02-09,"00:30",0
"206","Abercrombie House","Total Natural Gas AH","kWh",2011-02-10,"00:30",0
"207","Abercrombie House","Total Natural Gas AH","kWh",2011-02-11,"00:30",0
"208","Abercrombie House","Total Natural Gas AH","kWh",2011-02-12,"00:30",0
"209","Abercrombie House","Total Natural Gas AH","kWh",2011-02-13,"00:30",0
"210","Abercrombie House","Total Natural Gas AH","kWh",2011-02-14,"00:30",24.794
"211","Abercrombie House","Total Natural Gas AH","kWh",2011-02-15,"00:30",0
"212","Abercrombie House","Total Natural Gas AH","kWh",2011-02-16,"00:30",31.556
"213","Abercrombie House","Total Natural Gas AH","kWh",2011-02-17,"00:30",0
"214","Abercrombie House","Total Natural Gas AH","kWh",2011-02-18,"00:30",0
"215","Abercrombie House","Total Natural Gas AH","kWh",2011-02-19,"00:30",0
"216","Abercrombie House","Total Natural Gas AH","kWh",2011-02-20,"00:30",0
"217","Abercrombie House","Total Natural Gas AH","kWh",2011-02-21,"00:30",0
"218","Abercrombie House","Total Natural Gas AH","kWh",2011-02-22,"00:30",0
"219","Abercrombie House","Total Natural Gas AH","kWh",2011-02-23,"00:30",0
"220","Abercrombie House","Total Natural Gas AH","kWh",2011-02-24,"00:30",0
