"","Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (<U+00A3>)","Payscale Maximum (<U+00A3>)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"870","Department for Education","Department for Education ","Teachers Group","DFE-1017","Grade 7",45300,57222,"Senior Policy Adviser",1,"Policy"
"871","Department for Education","Department for Education ","Teachers Group","DFE-1017","Grade 7",45300,57222,"Programme Officer Manager",0.83,"Policy"
"872","Department for Education","Department for Education ","Teachers Group","DFE-1017","EO",21916,32232,"Generalist",0.69,"Policy"
"873","Department for Education","Department for Education ","Academies Delivery Group","DFE-1097","EO",21916,32232,"Programme Support Officer",6.65,"Operational Delivery"
"874","Department for Education","Department for Education ","Academies Delivery Group","DFE-1097","HEO",25000,40828,"Project Support Officer",8,"Operational Delivery"
"875","Department for Education","Department for Education ","Academies Delivery Group","DFE-1097","EA/AO",15266,24858,"Programme Support Officer",3,"Operational Delivery"
"876","Department for Education","Department for Education ","Academies Delivery Group","DFE-1097","SEO",33200,49008,"Project Support Officer",5,"Policy"
"877","Department for Education","Department for Education ","Academies Delivery Group","DFE-1097","Grade 7",45300,57222,"Project Manager",2.86,"Operational Delivery"
"878","Department for Education","Department for Education ","Academies Delivery Group","DFE-1097","Grade 7",45300,57222,"Operational Manager",1,"Operational Delivery"
"879","Department for Education","Department for Education ","Academies Delivery Group","DFE-1097","SEO",33200,49008,"Programme Support Officer",1,"Policy"
"880","Department for Education","Department for Education ","Academies Delivery Group","DFE-1097","HEO",25000,40828,"Policy Support Officer",1,"Policy"
"881","Department for Education","Department for Education ","Academies Delivery Group","DFE-1099","SEO",33200,49008,"Policy Adviser",1,"Policy"
"882","Department for Education","Department for Education ","Academies Delivery Group","DFE-1099","SEO",33200,49008,"Project Support Officer",25.67,"Operational Delivery"
"883","Department for Education","Department for Education ","Academies Delivery Group","DFE-1099","EA/AO",15266,24858,"Programme Support Officer",2.84,"Operational Delivery"
"884","Department for Education","Department for Education ","Academies Delivery Group","DFE-1099","Grade 6",55431,69187,"Programme Manager",2,"Operational Delivery"
"885","Department for Education","Department for Education ","Academies Delivery Group","DFE-1099","EO",21916,32232,"Programme Support Officer",10.4,"Operational Delivery"
"886","Department for Education","Department for Education ","Academies Delivery Group","DFE-1099","Grade 7",45300,57222,"Project Manager",10,"Operational Delivery"
"887","Department for Education","Department for Education ","Academies Delivery Group","DFE-1099","HEO",25000,40828,"Project Support Officer",23.89,"Operational Delivery"
"888","Department for Education","Department for Education ","Academies Delivery Group","DFE-1099","HEO",25000,40828,"Programme Support Officer",2,"Operational Delivery"
"889","Department for Education","Department for Education ","Academies Delivery Group","DFE-1099","HEO",25000,40828,"Finance Officer",1,"Finance"
"890","Department for Education","Department for Education ","Academies Delivery Group","DFE-1099","SEO",33200,49008,"Operational Manager",1,"Policy"
"891","Department for Education","Department for Education ","Academies Delivery Group","DFE-1099","EO",21916,32232,"Communications Manager",1,"Communications"
"892","Department for Education","Department for Education ","Academies Delivery Group","DFE-1099","HEO",25000,40828,"Policy Adviser",3,"Policy"
"893","Department for Education","Department for Education ","Academies Delivery Group","DFE-1101","Grade 7",45300,57222,"Senior Policy Adviser",7.6,"Policy"
"894","Department for Education","Department for Education ","Academies Delivery Group","DFE-1102","HEO",25000,40828,"Policy Adviser",4.29,"Policy"
"895","Department for Education","Department for Education ","Academies Delivery Group","DFE-1102","EO",21916,32232,"Generalist",0.81,"Policy"
"896","Department for Education","Department for Education ","Academies Delivery Group","DFE-1102","Grade 7",45300,57222,"Senior Policy Adviser",7.51,"Policy"
"897","Department for Education","Department for Education ","Academies Delivery Group","DFE-1102","EO",21916,32232,"PERSONAL ASSISTANT",1,"Policy"
"898","Department for Education","Department for Education ","Academies Delivery Group","DFE-1102","Grade 6",55431,69187,"Senior Policy Adviser",2,"Policy"
"899","Department for Education","Department for Education ","Academies Delivery Group","DFE-1101","HEO",25000,40828,"Policy Adviser",4.5,"Policy"
"900","Department for Education","Department for Education ","Academies Delivery Group","DFE-1101","Grade 6",55431,69187,"Senior Policy Adviser",2,"Policy"
"901","Department for Education","Department for Education ","Academies Delivery Group","DFE-1101","EO",21916,32232,"Policy Adviser",1,"Policy"
"902","Department for Education","Department for Education ","Academies Delivery Group","DFE-1102","EA/AO",15266,24858,"Generalist",0.81,"Policy"
"903","Department for Education","Department for Education ","Academies Delivery Group","DFE-1102","SEO",33200,49008,"Policy Support Officer",1,"Policy"
"904","Department for Education","Department for Education ","Academies Delivery Group","DFE-1102","EO",21916,32232,"Policy Support Officer",2,"Policy"
"905","Department for Education","Department for Education ","Academies Delivery Group","DFE-1101","EA/AO",15266,24858,"Generalist",0.7,"Policy"
"906","Department for Education","Department for Education ","Academies Delivery Group","DFE-1101","SEO",33200,49008,"Policy Adviser",1,"Policy"
"907","Department for Education","Department for Education ","Academies Delivery Group","DFE-1101","EO",21916,32232,"Policy Support Officer",0.81,"Policy"
"908","Department for Education","Department for Education ","Academies Delivery Group","DFE-1102","SEO",33200,49008,"Policy Adviser",0.81,"Policy"
"909","Department for Education","Department for Education ","Academies Delivery Group","DFE-1103","HEO",25000,40828,"Project Support Officer",17,"Policy"
"910","Department for Education","Department for Education ","Academies Delivery Group","DFE-1103","Grade 7",45300,57222,"Project Manager",24.4,"Policy"
"911","Department for Education","Department for Education ","Academies Delivery Group","DFE-1103","SEO",33200,49008,"Project Manager",1,"Policy"
"912","Department for Education","Department for Education ","Academies Delivery Group","DFE-1103","HEO",25000,40828,"Policy Adviser",5,"Policy"
"913","Department for Education","Department for Education ","Academies Delivery Group","DFE-1103","Grade 6",55431,69187,"Programme Manager",3,"Policy"
"914","Department for Education","Department for Education ","Academies Delivery Group","DFE-1103","EA/AO",15266,24858,"Programme Support Officer",1,"Policy"
"915","Department for Education","Department for Education ","Academies Delivery Group","DFE-1103","EO",21916,32232,"Programme Support Officer",1,"Policy"
"916","Department for Education","Department for Education ","Academies Delivery Group","DFE-1103","Grade 7",45300,57222,"Policy Adviser",1,"Policy"
"917","Department for Education","Department for Education ","Academies Delivery Group","DFE-1087","EO",21916,32232,"PERSONAL ASSISTANT",1,"Policy"
"918","Department for Education","Department for Education ","Acadamies Policy and Schools Organisation ","DFE-1086","SEO",33200,49008,"Policy Adviser",1,"Policy"
"919","Department for Education","Department for Education ","Acadamies Policy and Schools Organisation ","DFE-1091","HEO",25000,40828,"Policy Adviser",16.59,"Policy"
"920","Department for Education","Department for Education ","Acadamies Policy and Schools Organisation ","DFE-1091","SEO",33200,49008,"Policy Adviser",16.46,"Policy"
"921","Department for Education","Department for Education ","Acadamies Policy and Schools Organisation ","DFE-1091","Grade 7",45300,57222,"Senior Policy Adviser",8.8,"Policy"
"922","Department for Education","Department for Education ","Acadamies Policy and Schools Organisation ","DFE-1091","EO",21916,32232,"Policy Adviser",6.39,"Policy"
"923","Department for Education","Department for Education ","Acadamies Policy and Schools Organisation ","DFE-1091","Grade 6",55431,69187,"Senior Policy Adviser",3,"Policy"
"924","Department for Education","Department for Education ","Acadamies Policy and Schools Organisation ","DFE-1091","SEO",33200,49008,"Communications Manager",2,"Communications"
"925","Department for Education","Department for Education ","Acadamies Policy and Schools Organisation ","DFE-1091","SEO",33200,49008,"Project Support Officer",1,"Policy"
"926","Department for Education","Department for Education ","Acadamies Policy and Schools Organisation ","DFE-1092","Grade 7",45300,57222,"Senior Policy Adviser",3,"Policy"
"927","Department for Education","Department for Education ","Acadamies Policy and Schools Organisation ","DFE-1092","HEO",25000,40828,"Policy Adviser",1,"Policy"
"928","Department for Education","Department for Education ","Acadamies Policy and Schools Organisation ","DFE-1092","Grade 6",55431,69187,"Senior Policy Adviser",1,"Policy"
"929","Department for Education","Department for Education ","Acadamies Policy and Schools Organisation ","DFE-1092","EA/AO",15266,24858,"Generalist",1,"Policy"
"930","Department for Education","Department for Education ","Acadamies Policy and Schools Organisation ","DFE-1092","EO",21916,32232,"Generalist",0.6,"Policy"
"931","Department for Education","Department for Education ","Acadamies Policy and Schools Organisation ","DFE-1093","EA/AO",15266,24858,"Generalist",1,"Policy"
"932","Department for Education","Department for Education ","Acadamies Policy and Schools Organisation ","DFE-1093","Grade 7",45300,57222,"Senior Policy Adviser",5.8,"Policy"
"933","Department for Education","Department for Education ","Acadamies Policy and Schools Organisation ","DFE-1093","SEO",33200,49008,"Policy Adviser",4,"Policy"
"934","Department for Education","Department for Education ","Education Funding Group ","DFE-1111","EO",21916,32232,"Policy Adviser",2.81,"Policy"
"935","Department for Education","Department for Education ","Acadamies Policy and Schools Organisation ","DFE-1093","HEO",25000,40828,"Policy Adviser",5,"Policy"
"936","Department for Education","Department for Education ","Acadamies Policy and Schools Organisation ","DFE-1093","Grade 6",55431,69187,"Senior Policy Adviser",1,"Policy"
"937","Department for Education","Department for Education ","Education Funding Group ","DFE-1111","HEO",25000,40828,"Policy Adviser",1,"Policy"
"938","Department for Education","Department for Education ","Acadamies Policy and Schools Organisation ","DFE-1093","EO",21916,32232,"Operations Support Officer",1,"Policy"
"939","Department for Education","Department for Education ","Acadamies Policy and Schools Organisation ","DFE-1093","EO",21916,32232,"Policy Adviser",2.34,"Policy"
"940","Department for Education","Department for Education ","Acadamies Policy and Schools Organisation ","DFE-1093","SEO",33200,49008,"Procurement Officer",1,"Policy"
"941","Department for Education","Department for Education ","Acadamies Policy and Schools Organisation ","DFE-1093","SEO",33200,49008,"Project Support Officer",1,"Policy"
"942","Department for Education","Department for Education ","Acadamies Policy and Schools Organisation ","DFE-1093","EO",21916,32232,"Diary Manager",1,"Policy"
"943","Department for Education","Department for Education ","Education Funding Group ","DFE-1111","EA/AO",15266,24858,"Policy Adviser",2,"Policy"
"944","Department for Education","Department for Education ","Acadamies Policy and Schools Organisation ","DFE-1094","EO",21916,32232,"Policy Adviser",1,"Policy"
"945","Department for Education","Department for Education ","Acadamies Policy and Schools Organisation ","DFE-1094","Grade 7",45300,57222,"Senior Policy Adviser",1,"Policy"
"946","Department for Education","Department for Education ","Acadamies Policy and Schools Organisation ","DFE-1095","HEO",25000,40828,"Policy Adviser",7.6,"Policy"
"947","Department for Education","Department for Education ","Acadamies Policy and Schools Organisation ","DFE-1095","EA/AO",15266,24858,"Policy Adviser",8.17,"Policy"
"948","Department for Education","Department for Education ","Acadamies Policy and Schools Organisation ","DFE-1095","Grade 7",45300,57222,"Senior Policy Adviser",4,"Policy"
"949","Department for Education","Department for Education ","Acadamies Policy and Schools Organisation ","DFE-1095","EO",21916,32232,"Policy Adviser",9.07,"Policy"
"950","Department for Education","Department for Education ","Acadamies Policy and Schools Organisation ","DFE-1095","SEO",33200,49008,"Policy Adviser",2,"Policy"
"951","Department for Education","Department for Education ","Acadamies Policy and Schools Organisation ","DFE-1096","EO",21916,32232,"Policy Adviser",10.74,"Policy"
"952","Department for Education","Department for Education ","Acadamies Policy and Schools Organisation ","DFE-1096","HEO",25000,40828,"Policy Adviser",10.43,"Policy"
"953","Department for Education","Department for Education ","Acadamies Policy and Schools Organisation ","DFE-1096","SEO",33200,49008,"Policy Adviser",5.9,"Policy"
"954","Department for Education","Department for Education ","Acadamies Policy and Schools Organisation ","DFE-1096","Grade 7",45300,57222,"Senior Policy Adviser",6,"Policy"
"955","Department for Education","Department for Education ","Acadamies Policy and Schools Organisation ","DFE-1096","Grade 6",55431,69187,"Senior Policy Adviser",2,"Policy"
"956","Department for Education","Department for Education ","Acadamies Policy and Schools Organisation ","DFE-1096","EA/AO",15266,24858,"Generalist",1.7,"Policy"
"957","Department for Education","Department for Education ","Acadamies Policy and Schools Organisation ","DFE-1096","EO",21916,32232,"Business Manager",1,"Policy"
"958","Department for Education","Department for Education ","Comminication Group ","DFE-1104","Grade 6",55431,69187,"Senior Web Manager",1,"Communications"
"959","Department for Education","Department for Education ","Comminication Group ","DFE-1104","SEO",33200,49008,"Senior Communications Manager",2,"Communications"
"960","Department for Education","Department for Education ","Comminication Group ","DFE-1104","HEO",25000,40828,"Communications Manager",3.6,"Communications"
"961","Department for Education","Department for Education ","Comminication Group ","DFE-1104","SEO",33200,49008,"Communications Manager",6,"Communications"
"962","Department for Education","Department for Education ","Comminication Group ","DFE-1104","Grade 6",55431,69187,"Senior Communications Manager",1.83,"Communications"
"963","Department for Education","Department for Education ","Comminication Group ","DFE-1104","Grade 7",45300,57222,"Senior Communications Manager",4.9,"Communications"
"964","Department for Education","Department for Education ","Comminication Group ","DFE-1104","EO",21916,32232,"Business Manager",1,"Communications"
"965","Department for Education","Department for Education ","Comminication Group ","DFE-1104","EO",21916,32232,"Communications Manager",8.91,"Communications"
"966","Department for Education","Department for Education ","Comminication Group ","DFE-1104","HEO",25000,40828,"IT Support Officer",2,"Communications"
"967","Department for Education","Department for Education ","Comminication Group ","DFE-1104","SEO",33200,49008,"Web Manager",0.75,"Communications"
"968","Department for Education","Department for Education ","Comminication Group ","DFE-1104","Grade 7",45300,57222,"Web Manager",1,"Communications"
"969","Department for Education","Department for Education ","Comminication Group ","DFE-1105","HEO",25000,40828,"Press Officer",3,"Communications"
"970","Department for Education","Department for Education ","Comminication Group ","DFE-1105","Grade 7",45300,57222,"Senior Press Officer",2.8,"Communications"
"971","Department for Education","Department for Education ","Comminication Group ","DFE-1105","HEO",25000,40828,"Communications Manager",2.8,"Communications"
"972","Department for Education","Department for Education ","Comminication Group ","DFE-1105","SEO",33200,49008,"Generalist",2,"Communications"
"973","Department for Education","Department for Education ","Comminication Group ","DFE-1105","SEO",33200,49008,"Communications Manager",1,"Communications"
"974","Department for Education","Department for Education ","Comminication Group ","DFE-1105","SEO",33200,49008,"Press Officer",5,"Communications"
"975","Department for Education","Department for Education ","Comminication Group ","DFE-1105","SEO",33200,49008,"Senior Communications Manager",0.89,"Communications"
"976","Department for Education","Department for Education ","Comminication Group ","DFE-1105","Grade 7",45300,57222,"Senior Communications Manager",1,"Communications"
"977","Department for Education","Department for Education ","Comminication Group ","DFE-1104","EO",21916,32232,"Communications Support Officer",26.14,"Communications"
"978","Department for Education","Department for Education ","Comminication Group ","DFE-1104","EA/AO",15266,24858,"Communications Support Officer",32.34,"Communications"
"979","Department for Education","Department for Education ","Comminication Group ","DFE-1104","SEO",33200,49008,"Correspondence Manager",4.5,"Communications"
"980","Department for Education","Department for Education ","Comminication Group ","DFE-1104","HEO",25000,40828,"Correspondence Manager",8.66,"Communications"
"981","Department for Education","Department for Education ","Comminication Group ","DFE-1104","Grade 7",45300,57222,"Senior Correspondence Manager",1.7,"Communications"
"982","Department for Education","Department for Education ","Comminication Group ","DFE-1104","Grade 6",55431,69187,"Senior Correspondence Manager",1,"Communications"
"983","Department for Education","Department for Education ","Education Funding Group ","DFE-1107","Grade 6",55431,69187,"Senior Policy Adviser",2,"Policy"
"984","Department for Education","Department for Education ","Education Funding Group ","DFE-1107","SEO",33200,49008,"Policy Adviser",3,"Policy"
"985","Department for Education","Department for Education ","Education Funding Group ","DFE-1107","EO",21916,32232,"Policy Adviser",2,"Policy"
"986","Department for Education","Department for Education ","Education Funding Group ","DFE-1107","Grade 7",45300,57222,"Senior Policy Adviser",1,"Policy"
"987","Department for Education","Department for Education ","Education Funding Group ","DFE-1108","HEO",25000,40828,"Office Manager",1,"Policy"
"988","Department for Education","Department for Education ","Education Funding Group ","DFE-1108","HEO",25000,40828,"Policy Adviser",2,"Policy"
"989","Department for Education","Department for Education ","Education Funding Group ","DFE-1108","EO",21916,32232,"Generalist",1,"Operational Delivery"
"990","Department for Education","Department for Education ","Education Funding Group ","DFE-1110","EO",21916,32232,"Policy Adviser",1.8,"Policy"
"991","Department for Education","Department for Education ","Education Funding Group ","DFE-1108","Grade 6",55431,69187,"Programme Officer Manager",1,"Programme and Project Management (PPM)"
"992","Department for Education","Department for Education ","Education Funding Group ","DFE-1108","Grade 7",45300,57222,"Policy Adviser",1,"Policy"
"993","Department for Education","Department for Education ","Education Funding Group ","DFE-1108","Grade 6",55431,69187,"Policy Adviser",1,"Policy"
"994","Department for Education","Department for Education ","Education Funding Group ","DFE-1108","Grade 7",45300,57222,"Senior Policy Adviser",1,"Policy"
"995","Department for Education","Department for Education ","Education Funding Group ","DFE-1110","HEO",25000,40828,"Policy Adviser",4,"Policy"
"996","Department for Education","Department for Education ","Education Funding Group ","DFE-1107","Grade 7",45300,57222,"Senior Finance  Manager",1,"Finance"
"997","Department for Education","Department for Education ","Education Funding Group ","DFE-1110","Grade 7",45300,57222,"Senior Policy Adviser",9.9,"Policy"
"998","Department for Education","Department for Education ","Education Funding Group ","DFE-1108","EO",21916,32232,"Policy Adviser",0.57,"Policy"
"999","Department for Education","Department for Education ","Education Funding Group ","DFE-1107","EO",21916,32232,"Finance Support Officer",1,"Finance"
"1000","Department for Education","Department for Education ","Education Funding Group ","DFE-1108","SEO",33200,49008,"Policy Adviser",1,"Policy"
"1001","Department for Education","Department for Education ","Education Funding Group ","DFE-1110","HEO",25000,40828,"Statistical Support Officer",1,"Statisticians"
"1002","Department for Education","Department for Education ","Education Funding Group ","DFE-1110","SEO",33200,49008,"Policy Adviser",5.2,"Policy"
"1003","Department for Education","Department for Education ","Free Schools Group ","DFE-1114","Grade 7",45300,57222,"Senior Policy Adviser",28.13,"Policy"
"1004","Department for Education","Department for Education ","Education Funding Group ","DFE-1110","EO",21916,32232,"Policy Support Officer",1.76,"Policy"
"1005","Department for Education","Department for Education ","Education Funding Group ","DFE-1110","Grade 7",45300,57222,"Senior Finance  Manager",1,"Finance"
"1006","Department for Education","Department for Education ","Education Funding Group ","DFE-1110","EA/AO",15266,24858,"Policy Support Officer",1,"Policy"
"1007","Department for Education","Department for Education ","Education Funding Group ","DFE-1111","SEO",33200,49008,"Finance Officer",3,"Finance"
"1008","Department for Education","Department for Education ","Education Funding Group ","DFE-1111","EO",21916,32232,"Finance Support Officer",9.66,"Finance"
"1009","Department for Education","Department for Education ","Education Funding Group ","DFE-1111","HEO",25000,40828,"Finance Support Officer",5,"Finance"
"1010","Department for Education","Department for Education ","Education Funding Group ","DFE-1111","EA/AO",15266,24858,"Generalist",0.6,"Finance"
"1011","Department for Education","Department for Education ","Education Funding Group ","DFE-1111","Grade 7",45300,57222,"Senior Finance  Manager",2,"Finance"
"1012","Department for Education","Department for Education ","Education Funding Group ","DFE-1111","EO",21916,32232,"Policy Support Officer",1,"Policy"
"1013","Department for Education","Department for Education ","Education Funding Group ","DFE-1111","EO",21916,32232,"Generalist",0.84,"Finance"
"1014","Department for Education","Department for Education ","Education Funding Group ","DFE-1089","HEO",25000,40828,"Policy Adviser",1,"Policy"
"1015","Department for Education","Department for Education ","Education Funding Group ","DFE-1089","EO",21916,32232,"PERSONAL ASSISTANT",1.75,"Policy"
"1016","Department for Education","Department for Education ","Education Funding Group ","DFE-1089","Grade 7",45300,57222,"Office Manager",1,"Policy"
"1017","Department for Education","Department for Education ","Free Schools Group ","DFE-1114","EA/AO",15266,24858,"Policy Adviser",2,"Policy"
"1018","Department for Education","Department for Education ","Free Schools Group ","DFE-1114","HEO",25000,40828,"Policy Adviser",4.6,"Policy"
"1019","Department for Education","Department for Education ","Free Schools Group ","DFE-1114","EO",21916,32232,"Policy Adviser",2.65,"Policy"
"1020","Department for Education","Department for Education ","Free Schools Group ","DFE-1114","SEO",33200,49008,"Policy Adviser",7.54,"Policy"
"1021","Department for Education","Department for Education ","Free Schools Group ","DFE-1114","Grade 6",55431,69187,"Senior Policy Adviser",6.67,"Policy"
"1022","Department for Education","Department for Education ","Free Schools Group ","DFE-1115","SEO",33200,49008,"Policy Adviser",4.5,"Policy"
"1023","Department for Education","Department for Education ","Free Schools Group ","DFE-1115","Grade 7",45300,57222,"Senior Policy Adviser",3.83,"Policy"
"1024","Department for Education","Department for Education ","Free Schools Group ","DFE-1115","Grade 6",55431,69187,"Senior Policy Adviser",3,"Policy"
"1025","Department for Education","Department for Education ","Free Schools Group ","DFE-1115","HEO",25000,40828,"Policy Adviser",4,"Policy"
"1026","Department for Education","Department for Education ","Free Schools Group ","DFE-1115","EA/AO",15266,24858,"Policy Adviser",2,"Policy"
"1027","Department for Education","Department for Education ","Free Schools Group ","DFE-1115","EO",21916,32232,"Policy Adviser",2,"Policy"
"1028","Department for Education","Department for Education ","Free Schools Group ","DFE-1116","Grade 6",55431,69187,"Senior Policy Adviser",4.89,"Policy"
"1029","Department for Education","Department for Education ","Free Schools Group ","DFE-1116","HEO",25000,40828,"Policy Adviser",4.56,"Policy"
"1030","Department for Education","Department for Education ","Free Schools Group ","DFE-1116","EO",21916,32232,"Policy Adviser",3.69,"Policy"
"1031","Department for Education","Department for Education ","Free Schools Group ","DFE-1116","Grade 7",45300,57222,"Senior Policy Adviser",8.58,"Policy"
"1032","Department for Education","Department for Education ","Free Schools Group ","DFE-1116","EA/AO",15266,24858,"Generalist",1,"Policy"
"1033","Department for Education","Department for Education ","Free Schools Group ","DFE-1116","Grade 7",45300,57222,"Policy Adviser",1,"Policy"
"1034","Department for Education","Department for Education ","Free Schools Group ","DFE-1116","SEO",33200,49008,"Policy Adviser",5.6,"Policy"
"1035","Department for Education","Department for Education ","Free Schools Group ","DFE-1116","SEO",33200,49008,"Senior Policy Adviser",2.78,"Policy"
"1036","Department for Education","Department for Education ","Free Schools Group ","DFE-1117","Grade 7",45300,57222,"Senior Policy Adviser",8,"Policy"
"1037","Department for Education","Department for Education ","Free Schools Group ","DFE-1117","EO",21916,32232,"Policy Adviser",3,"Policy"
"1038","Department for Education","Department for Education ","Free Schools Group ","DFE-1117","HEO",25000,40828,"Policy Adviser",9.92,"Policy"
"1039","Department for Education","Department for Education ","Free Schools Group ","DFE-1117","SEO",33200,49008,"Policy Adviser",2,"Policy"
"1040","Department for Education","Department for Education ","Free Schools Group ","DFE-1117","Grade 6",55431,69187,"Senior Policy Adviser",3,"Policy"
"1041","Department for Education","Department for Education ","Free Schools Group ","DFE-1117","EA/AO",15266,24858,"Policy Adviser",2,"Policy"
"1042","Department for Education","Department for Education ","Free Schools Group ","DFE-1114","SEO",33200,49008,"Communications Manager",2,"Communications"
"1043","Department for Education","Department for Education ","Free Schools Group ","DFE-1114","Grade 7",45300,57222,"Policy Adviser",1,"Policy"
"1044","Department for Education","Department for Education ","Free Schools Group ","DFE-1114","Grade 6",55431,69187,"Senior Communications Manager",0.83,"Communications"
"1045","Department for Education","Department for Education ","Free Schools Group ","DFE-1114","HEO",25000,40828,"Economist",1,"Economics"
"1046","Department for Education","Department for Education ","Free Schools Group ","DFE-1119","EO",21916,32232,"Policy Adviser",2,"Policy"
"1047","Department for Education","Department for Education ","Free Schools Group ","DFE-1119","EA/AO",15266,24858,"Policy Adviser",1,"Policy"
"1048","Department for Education","Department for Education ","Free Schools Group ","DFE-1119","HEO",25000,40828,"Policy Adviser",4,"Policy"
"1049","Department for Education","Department for Education ","Free Schools Group ","DFE-1119","Grade 7",45300,57222,"Senior Policy Adviser",3,"Policy"
"1050","Department for Education","Department for Education ","Free Schools Group ","DFE-1119","Grade 6",55431,69187,"Senior Policy Adviser",0.8,"Policy"
"1051","Department for Education","Department for Education ","Free Schools Group ","DFE-1119","SEO",33200,49008,"Policy Adviser",1,"Policy"
"1052","Department for Education","Department for Education ","Free Schools Group ","DFE-1120","Grade 7",45300,57222,"Senior Policy Adviser",14.48,"Policy"
"1053","Department for Education","Department for Education ","Free Schools Group ","DFE-1120","Grade 6",55431,69187,"Senior Policy Adviser",3,"Policy"
"1054","Department for Education","Department for Education ","Free Schools Group ","DFE-1120","EO",21916,32232,"Policy Adviser",4.4,"Policy"
"1055","Department for Education","Department for Education ","Free Schools Group ","DFE-1120","SEO",33200,49008,"Policy Adviser",4,"Policy"
"1056","Department for Education","Department for Education ","Free Schools Group ","DFE-1120","HEO",25000,40828,"Policy Adviser",3,"Policy"
"1057","Department for Education","Department for Education ","Free Schools Group ","DFE-1120","EA/AO",15266,24858,"Policy Adviser",2,"Policy"
"1058","Department for Education","Department for Education ","Free Schools Group ","DFE-1120","HEO",25000,40828,"Correspondence Manager",1,"Policy"
"1059","Department for Education","Department for Education ","Free Schools Group ","DFE-1120","Grade 7",45300,57222,"Policy Adviser",1,"Policy"
"1060","Department for Education","Department for Education ","Free Schools Group ","DFE-1090","SEO",33200,49008,"Policy Adviser",2,"Policy"
"1061","Department for Education","Department for Education ","Free Schools Group ","DFE-1090","EO",21916,32232,"Policy Adviser",1.87,"Policy"
"1062","Department for Education","Department for Education ","Free Schools Group ","DFE-1090","Grade 7",45300,57222,"Senior Policy Adviser",1,"Policy"
"1063","Department for Education","Department for Education ","Free Schools Group ","DFE-1090","HEO",25000,40828,"Policy Adviser",2,"Policy"
"1064","Department for Education","Department for Education ","Office of the Schools Commissioner Group ","DFE-1124","EO",21916,32232,"Policy Adviser",1.94,"Policy"
"1065","Department for Education","Department for Education ","Office of the Schools Commissioner Group ","DFE-1124","HEO",25000,40828,"Policy Adviser",1.84,"Policy"
"1066","Department for Education","Department for Education ","Office of the Schools Commissioner Group ","DFE-1124","Grade 7",45300,57222,"Senior Policy Adviser",4,"Policy"
"1067","Department for Education","Department for Education ","Office of the Schools Commissioner Group ","DFE-1124","Grade 6",55431,69187,"Senior Policy Adviser",1.81,"Policy"
"1068","Department for Education","Department for Education ","Office of the Schools Commissioner Group ","DFE-1124","SEO",33200,49008,"Senior Policy Adviser",2,"Policy"
"1069","Department for Education","Department for Education ","Office of the Schools Commissioner Group ","DFE-1124","EA/AO",15266,24858,"Policy Adviser",1,"Policy"
"1070","Department for Education","Department for Education ","Office of the Schools Commissioner Group ","DFE-1125","Grade 7",45300,57222,"Senior Policy Adviser",3,"Policy"
"1071","Department for Education","Department for Education ","Office of the Schools Commissioner Group ","DFE-1125","Grade 6",55431,69187,"Senior Policy Adviser",2,"Policy"
"1072","Department for Education","Department for Education ","Office of the Schools Commissioner Group ","DFE-1125","EA/AO",15266,24858,"Policy Support Officer",1,"Policy"
"1073","Department for Education","Department for Education ","Office of the Schools Commissioner Group ","DFE-1125","SEO",33200,49008,"Policy Adviser",1,"Policy"
"1074","Department for Education","Department for Education ","Office of the Schools Commissioner Group ","DFE-1125","HEO",25000,40828,"Policy Adviser",1,"Policy"
"1075","Department for Education","Department for Education ","Office of the Schools Commissioner Group ","DFE-1125","EO",21916,32232,"Policy Adviser",2,"Policy"
"1076","Department for Education","Department for Education ","Infrastructure and Funding Directorate ","DFE-1122","SEO",33200,49008,"Senior Policy Adviser",5.91,"Policy"
"1077","Department for Education","Department for Education ","Infrastructure and Funding Directorate ","DFE-1122","EO",21916,32232,"Policy Adviser",5.5,"Policy"
"1078","Department for Education","Department for Education ","Infrastructure and Funding Directorate ","DFE-1122","HEO",25000,40828,"Senior Policy Adviser",1.58,"Policy"
"1079","Department for Education","Department for Education ","Infrastructure and Funding Directorate ","DFE-1122","EA/AO",15266,24858,"Policy Adviser",1.75,"Policy"
"1080","Department for Education","Department for Education ","Infrastructure and Funding Directorate ","DFE-1122","Grade 7",45300,57222,"Senior Policy Adviser",5.8,"Policy"
"1081","Department for Education","Department for Education ","Infrastructure and Funding Directorate ","DFE-1084","EO",21916,32232,"Policy Support Officer",2.92,"Policy"
"1082","Department for Education","Department for Education ","Infrastructure and Funding Directorate ","DFE-1084","HEO",25000,40828,"Policy Support Officer",2,"Policy"
"1083","Department for Education","Department for Education ","Infrastructure and Funding Directorate ","DFE-1084","Grade 7",45300,57222,"Programme Officer Manager",1,"Policy"
"1084","Department for Education","Department for Education ","Infrastructure and Funding Directorate ","DFE-1084","EO",21916,32232,"Office Manager",1,"Policy"
"1085","Department for Education","Department for Education ","Infrastructure and Funding Directorate ","DFE-1121","EO",21916,32232,"Statistician",1.8,"Statisticians"
"1086","Department for Education","Department for Education ","Infrastructure and Funding Directorate ","DFE-1121","Grade 7",45300,57222,"Statistician",1.75,"Statisticians"
